,value
2018-04-11,333.0
2018-04-12,306.0
2018-04-13,361.0
2018-04-14,492.0
2018-04-15,478.0
2018-04-16,321.0
2018-04-17,358.0
2018-04-18,326.0
2018-04-19,375.0
2018-04-20,383.0
2018-04-21,570.0
2018-04-22,585.0
2018-04-23,343.0
2018-04-24,363.0
2018-04-25,339.0
2018-04-26,345.0
2018-04-27,337.0
2018-04-28,452.0
2018-04-29,502.0
2018-04-30,299.0
2018-05-01,464.0
2018-05-02,344.0
2018-05-03,297.0
2018-05-04,324.0
2018-05-05,471.0
2018-05-06,535.0
2018-05-07,369.0
2018-05-08,498.0
2018-05-09,355.0
2018-05-10,430.0
2018-05-11,397.0
2018-05-12,453.0
2018-05-13,465.0
2018-05-14,342.0
2018-05-15,348.0
2018-05-16,310.0
2018-05-17,317.0
2018-05-18,328.0
2018-05-19,477.0
2018-05-20,502.0
2018-05-21,530.0
2018-05-22,312.0
2018-05-23,291.0
2018-05-24,302.0
2018-05-25,336.0
2018-05-26,448.0
2018-05-27,425.0
2018-05-28,358.0
2018-05-29,270.0
2018-05-30,355.0
2018-05-31,378.0
2018-06-01,332.0
2018-06-02,509.0
2018-06-03,514.0
2018-06-04,297.0
2018-06-05,281.0
2018-06-06,338.0
2018-06-07,369.0
2018-06-08,355.0
2018-06-09,455.0
2018-06-10,458.0
2018-06-11,329.0
2018-06-12,329.0
2018-06-13,326.0
2018-06-14,350.0
2018-06-15,349.0
2018-06-16,496.0
2018-06-17,503.0
2018-06-18,351.0
2018-06-19,342.0
2018-06-20,333.0
2018-06-21,324.0
2018-06-22,376.0
2018-06-23,439.0
2018-06-24,537.0
2018-06-25,313.0
2018-06-26,322.0
2018-06-27,353.0
2018-06-28,321.0
2018-06-29,340.0
2018-06-30,507.0
2018-07-01,545.0
2018-07-02,380.0
2018-07-03,394.0
2018-07-04,354.0
2018-07-05,389.0
2018-07-06,374.0
2018-07-07,539.0
2018-07-08,607.0
2018-07-09,319.0
